atc_A	atc_class_name_A	atc_B	atc_class_name_B	atc_C	atc_class_name_C	atleast_exposure_count	exact_exposure_count	fraction_exact	fraction_allwindows	observe_per_expect_1s	observe_per_expect_N1
C01	Cardiac therapy	C09	Agents acting on the renin-angiotensin system	D11	Other dermatological preparations	315284	1084	0.0034	2e-04	7.068	2.266
A02	Drugs for acid related disorders	G01	Gynecological antiinfectives and antiseptics	G04	Urologicals	315223	2815	0.0089	2e-04	1.982	1.202
C10	Lipid modifying agents	D06	Antibiotics and chemotherapeutics for dermatological use	G03	Sex hormones and modulators of the genital system	315105	12373	0.0393	2e-04	0.345	0.505
A03	Drugs for functional gastrointestinal disorders	G04	Urologicals	J01	Antibacterials for systemic use	315099	5473	0.0174	2e-04	2.312	1.614
A01	Stomatological preparations	A02	Drugs for acid related disorders	N06	Psychoanaleptics	314976	13663	0.0434	2e-04	0.779	0.76
C09	Agents acting on the renin-angiotensin system	J05	Antivirals for systemic use	N03	Antiepileptics	314924	3020	0.0096	2e-04	0.658	0.732
A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	D07	Corticosteroids, dermatological preparations	G03	Sex hormones and modulators of the genital system	314873	5553	0.0176	2e-04	1.148	0.508
A02	Drugs for acid related disorders	A06	Drugs for constipation	A10	Drugs used in diabetes	314629	3192	0.0101	2e-04	2.145	1.061
A06	Drugs for constipation	C03	Diuretics	H03	Thyroid therapy	314619	4221	0.0134	2e-04	2.15	1.661
A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	C03	Diuretics	L04	Immunosuppressants	314378	2644	0.0084	2e-04	2.79	1.088
A10	Drugs used in diabetes	J01	Antibacterials for systemic use	L01	Antineoplastic agents	314369	2868	0.0091	2e-04	0.551	0.646
A10	Drugs used in diabetes	M02	Topical products for joint and muscular pain	N03	Antiepileptics	314331	2407	0.0077	2e-04	2.059	1.072
N04	Anti-parkinson drugs	R03	Drugs for obstructive airway diseases	R05	Cough and cold preparations	314318	227	7e-04	2e-04	2.188	1.83
C08	Calcium channel blockers	G01	Gynecological antiinfectives and antiseptics	N05	Psycholeptics	314102	1203	0.0038	2e-04	1.093	1.084
D01	Antifungals for dermatological use	J01	Antibacterials for systemic use	M03	Muscle relaxants	313891	4625	0.0147	2e-04	3.568	2.035
D06	Antibiotics and chemotherapeutics for dermatological use	H03	Thyroid therapy	N05	Psycholeptics	313671	6618	0.0211	2e-04	1.6	1.487
C03	Diuretics	D11	Other dermatological preparations	N02	Analgesics	313670	428	0.0014	2e-04	1.408	1.093
C09	Agents acting on the renin-angiotensin system	M01	Anti-inflammatory and antirheumatic products	M02	Topical products for joint and muscular pain	313646	3766	0.012	2e-04	1.827	1.287
B01	Antithrombotic agents	C02	Antihypertensives	N05	Psycholeptics	313444	566	0.0018	2e-04	4.423	1.386
D01	Antifungals for dermatological use	D07	Corticosteroids, dermatological preparations	N06	Psychoanaleptics	313407	6846	0.0218	2e-04	1.981	0.896
C08	Calcium channel blockers	N04	Anti-parkinson drugs	R05	Cough and cold preparations	313272	<100	 	2e-04	2.221	1.858
D06	Antibiotics and chemotherapeutics for dermatological use	H03	Thyroid therapy	N02	Analgesics	313207	2459	0.0079	2e-04	1.363	1.258
B01	Antithrombotic agents	C01	Cardiac therapy	D11	Other dermatological preparations	312970	1714	0.0055	2e-04	37.078	4.273
A02	Drugs for acid related disorders	D01	Antifungals for dermatological use	H02	Corticosteroids for systemic use	312790	2528	0.0081	2e-04	4.212	2.143
G04	Urologicals	N03	Antiepileptics	S02	Otologicals	312710	4868	0.0156	2e-04	3.16	1.538
G03	Sex hormones and modulators of the genital system	N03	Antiepileptics	P01	Antiprotozoals	312530	7147	0.0229	2e-04	1.104	0.845
A04	Antiemetics and antinauseants	C10	Lipid modifying agents	R05	Cough and cold preparations	312316	<100	 	2e-04	1.739	0.595
C09	Agents acting on the renin-angiotensin system	L04	Immunosuppressants	R06	Antihistamines for systemic use	312295	1513	0.0048	2e-04	1.208	1.283
A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	A10	Drugs used in diabetes	R06	Antihistamines for systemic use	312279	942	0.003	2e-04	1.161	0.637
C09	Agents acting on the renin-angiotensin system	L04	Immunosuppressants	M03	Muscle relaxants	312192	1003	0.0032	2e-04	1.894	1.289
A03	Drugs for functional gastrointestinal disorders	H03	Thyroid therapy	R03	Drugs for obstructive airway diseases	312180	1404	0.0045	2e-04	1.959	1.566
C10	Lipid modifying agents	M01	Anti-inflammatory and antirheumatic products	M02	Topical products for joint and muscular pain	312155	7272	0.0233	2e-04	1.592	1.122
C10	Lipid modifying agents	H05	Calcium homeostasis	N06	Psychoanaleptics	311980	4746	0.0152	2e-04	1.724	1.056
G01	Gynecological antiinfectives and antiseptics	H03	Thyroid therapy	R05	Cough and cold preparations	311547	152	5e-04	2e-04	1.496	0.924
A02	Drugs for acid related disorders	A06	Drugs for constipation	C08	Calcium channel blockers	311328	3009	0.0097	2e-04	3.501	1.731
H02	Corticosteroids for systemic use	J01	Antibacterials for systemic use	M04	Antigout preparations	311302	4497	0.0144	2e-04	2.293	1.176
A02	Drugs for acid related disorders	C09	Agents acting on the renin-angiotensin system	H05	Calcium homeostasis	311298	1910	0.0061	2e-04	4.264	1.737
A02	Drugs for acid related disorders	C10	Lipid modifying agents	D10	Anti-acne preparations	311255	6079	0.0195	2e-04	0.46	0.334
C03	Diuretics	M03	Muscle relaxants	M04	Antigout preparations	311078	528	0.0017	2e-04	2.34	1.159
D07	Corticosteroids, dermatological preparations	G04	Urologicals	R06	Antihistamines for systemic use	311000	5755	0.0185	2e-04	2.669	1.237
A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	C08	Calcium channel blockers	G03	Sex hormones and modulators of the genital system	310886	2253	0.0072	2e-04	0.413	0.432
A03	Drugs for functional gastrointestinal disorders	C07	Beta blocking agents	M03	Muscle relaxants	310816	733	0.0024	2e-04	4.576	1.855
B01	Antithrombotic agents	H03	Thyroid therapy	N04	Anti-parkinson drugs	310771	1381	0.0044	2e-04	3.697	2.189
A03	Drugs for functional gastrointestinal disorders	A04	Antiemetics and antinauseants	N06	Psychoanaleptics	310657	4676	0.0151	2e-04	11.533	1.334
C07	Beta blocking agents	M02	Topical products for joint and muscular pain	M03	Muscle relaxants	310618	3429	0.011	2e-04	5.333	1.158
A02	Drugs for acid related disorders	L01	Antineoplastic agents	L04	Immunosuppressants	310537	7831	0.0252	2e-04	6.773	2.787
C10	Lipid modifying agents	L02	Endocrine therapy	M05	Drugs for treatment of bone diseases	310483	24912	0.0802	2e-04	6.643	1.45
A11	Vitamins	N02	Analgesics	R03	Drugs for obstructive airway diseases	310196	826	0.0027	2e-04	1.601	1.347
C08	Calcium channel blockers	H03	Thyroid therapy	P01	Antiprotozoals	309865	3988	0.0129	2e-04	1.787	1.483
C01	Cardiac therapy	R05	Cough and cold preparations	S01	Ophthalmologicals	309601	355	0.0011	2e-04	3.21	1.718
D06	Antibiotics and chemotherapeutics for dermatological use	H03	Thyroid therapy	J01	Antibacterials for systemic use	309572	8379	0.0271	2e-04	1.136	0.922
C07	Beta blocking agents	D11	Other dermatological preparations	N05	Psycholeptics	309547	2205	0.0071	2e-04	2.219	1.14
H03	Thyroid therapy	L04	Immunosuppressants	R01	Nasal preparations	309377	5509	0.0178	2e-04	1.657	1.412
B01	Antithrombotic agents	M03	Muscle relaxants	R03	Drugs for obstructive airway diseases	309368	339	0.0011	2e-04	1.737	1.617
A10	Drugs used in diabetes	C02	Antihypertensives	R03	Drugs for obstructive airway diseases	309264	984	0.0032	2e-04	1.534	1.049
C07	Beta blocking agents	C09	Agents acting on the renin-angiotensin system	D10	Anti-acne preparations	309094	3740	0.0121	2e-04	0.474	0.233
B01	Antithrombotic agents	C02	Antihypertensives	G04	Urologicals	308950	2184	0.0071	2e-04	10.45	3.275
C09	Agents acting on the renin-angiotensin system	D11	Other dermatological preparations	H03	Thyroid therapy	308894	3665	0.0119	2e-04	1.554	0.985
J01	Antibacterials for systemic use	M04	Antigout preparations	R03	Drugs for obstructive airway diseases	308888	2095	0.0068	2e-04	0.83	0.898
A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	G04	Urologicals	N03	Antiepileptics	308810	950	0.0031	2e-04	2.392	1.967
J01	Antibacterials for systemic use	N05	Psycholeptics	N07	Other nervous system drugs	308713	4908	0.0159	2e-04	2.054	0.961
A12	Mineral supplements	C09	Agents acting on the renin-angiotensin system	C10	Lipid modifying agents	308663	7766	0.0252	2e-04	3.712	2.035
H03	Thyroid therapy	L04	Immunosuppressants	R03	Drugs for obstructive airway diseases	308570	3162	0.0102	2e-04	1.33	1.133
D09	Medicated dressings	N02	Analgesics	N05	Psycholeptics	308439	2072	0.0067	2e-04	4.245	1.57
D01	Antifungals for dermatological use	G01	Gynecological antiinfectives and antiseptics	N06	Psychoanaleptics	308438	12916	0.0419	2e-04	3.694	0.775
A11	Vitamins	C01	Cardiac therapy	C10	Lipid modifying agents	308185	1368	0.0044	2e-04	3.567	1.821
A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	C10	Lipid modifying agents	M04	Antigout preparations	308085	2114	0.0069	2e-04	1.985	1.086
G01	Gynecological antiinfectives and antiseptics	M01	Anti-inflammatory and antirheumatic products	N05	Psycholeptics	308049	4104	0.0133	2e-04	1.853	1.498
J05	Antivirals for systemic use	N05	Psycholeptics	R03	Drugs for obstructive airway diseases	308030	5296	0.0172	2e-04	0.906	1.091
B01	Antithrombotic agents	C10	Lipid modifying agents	N07	Other nervous system drugs	307989	4222	0.0137	2e-04	3.684	1.567
B01	Antithrombotic agents	H03	Thyroid therapy	L01	Antineoplastic agents	307908	2162	0.007	2e-04	3.145	1.828
C09	Agents acting on the renin-angiotensin system	M02	Topical products for joint and muscular pain	R06	Antihistamines for systemic use	307713	1784	0.0058	2e-04	2.022	1.528
C07	Beta blocking agents	N02	Analgesics	V03	All other therapeutic products	307677	7279	0.0237	2e-04	5.159	0.858
M05	Drugs for treatment of bone diseases	R05	Cough and cold preparations	R06	Antihistamines for systemic use	307515	2556	0.0083	2e-04	2.816	0.902
G03	Sex hormones and modulators of the genital system	M02	Topical products for joint and muscular pain	N03	Antiepileptics	307391	5773	0.0188	2e-04	1.403	0.73
A11	Vitamins	M03	Muscle relaxants	N05	Psycholeptics	307325	2151	0.007	2e-04	5.795	2.508
C02	Antihypertensives	N02	Analgesics	R03	Drugs for obstructive airway diseases	307317	703	0.0023	2e-04	1.669	1.282
L04	Immunosuppressants	R01	Nasal preparations	R06	Antihistamines for systemic use	307310	8951	0.0291	2e-04	3.526	0.983
A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	M01	Anti-inflammatory and antirheumatic products	N03	Antiepileptics	307209	1321	0.0043	2e-04	2.204	1.505
C08	Calcium channel blockers	D01	Antifungals for dermatological use	N06	Psychoanaleptics	307049	2445	0.008	2e-04	0.707	0.897
C01	Cardiac therapy	H03	Thyroid therapy	R06	Antihistamines for systemic use	307042	965	0.0031	2e-04	1.901	1.249
C09	Agents acting on the renin-angiotensin system	G01	Gynecological antiinfectives and antiseptics	H02	Corticosteroids for systemic use	306989	2219	0.0072	2e-04	1.519	0.894
C07	Beta blocking agents	G03	Sex hormones and modulators of the genital system	S02	Otologicals	306898	5790	0.0189	2e-04	0.365	0.394
C01	Cardiac therapy	M01	Anti-inflammatory and antirheumatic products	N05	Psycholeptics	306794	1575	0.0051	2e-04	1.44	1.164
D01	Antifungals for dermatological use	G01	Gynecological antiinfectives and antiseptics	G03	Sex hormones and modulators of the genital system	306585	38668	0.1261	2e-04	4.468	0.938
C01	Cardiac therapy	D11	Other dermatological preparations	G04	Urologicals	306574	2538	0.0083	2e-04	31.172	4.16
J01	Antibacterials for systemic use	J05	Antivirals for systemic use	S01	Ophthalmologicals	306543	16803	0.0548	2e-04	1.665	1.447
A10	Drugs used in diabetes	H02	Corticosteroids for systemic use	M03	Muscle relaxants	306466	1537	0.005	2e-04	1.315	0.561
D01	Antifungals for dermatological use	H02	Corticosteroids for systemic use	R05	Cough and cold preparations	306280	339	0.0011	2e-04	6.457	2.723
A06	Drugs for constipation	N05	Psycholeptics	R05	Cough and cold preparations	306139	<100	 	2e-04	4.196	2.443
C03	Diuretics	L01	Antineoplastic agents	M05	Drugs for treatment of bone diseases	306033	2683	0.0088	2e-04	3.677	1.762
C03	Diuretics	D06	Antibiotics and chemotherapeutics for dermatological use	R05	Cough and cold preparations	305944	<100	 	2e-04	1.308	1.044
A06	Drugs for constipation	A10	Drugs used in diabetes	C07	Beta blocking agents	305757	1907	0.0062	2e-04	1.895	1.508
A04	Antiemetics and antinauseants	N02	Analgesics	R01	Nasal preparations	305670	1919	0.0063	2e-04	3.243	1.163
G03	Sex hormones and modulators of the genital system	L04	Immunosuppressants	M01	Anti-inflammatory and antirheumatic products	305461	16842	0.0551	2e-04	1.075	0.681
H02	Corticosteroids for systemic use	L01	Antineoplastic agents	N05	Psycholeptics	305397	3003	0.0098	2e-04	3.302	2.077
H03	Thyroid therapy	N02	Analgesics	N07	Other nervous system drugs	305141	2324	0.0076	2e-04	2.815	1.398
D07	Corticosteroids, dermatological preparations	N03	Antiepileptics	S01	Ophthalmologicals	305070	2402	0.0079	2e-04	2.392	1.508
D11	Other dermatological preparations	N02	Analgesics	N06	Psychoanaleptics	304855	2288	0.0075	2e-04	0.944	0.971
J05	Antivirals for systemic use	R05	Cough and cold preparations	S01	Ophthalmologicals	304790	21713	0.0712	2e-04	3.488	1.867
B01	Antithrombotic agents	G04	Urologicals	N04	Anti-parkinson drugs	304765	1678	0.0055	2e-04	7.431	3.13
D10	Anti-acne preparations	G03	Sex hormones and modulators of the genital system	S01	Ophthalmologicals	304658	56481	0.1854	2e-04	1.765	0.7
M02	Topical products for joint and muscular pain	N05	Psycholeptics	R01	Nasal preparations	304581	2428	0.008	2e-04	2.37	1.648
G04	Urologicals	L01	Antineoplastic agents	R05	Cough and cold preparations	304507	<100	 	2e-04	3.46	2.013
A02	Drugs for acid related disorders	A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	M05	Drugs for treatment of bone diseases	304446	2847	0.0094	2e-04	3.341	2.254
M02	Topical products for joint and muscular pain	N05	Psycholeptics	R03	Drugs for obstructive airway diseases	304386	1640	0.0054	2e-04	1.905	1.324
D07	Corticosteroids, dermatological preparations	H02	Corticosteroids for systemic use	N03	Antiepileptics	304379	2794	0.0092	2e-04	2.549	1.37
C03	Diuretics	G01	Gynecological antiinfectives and antiseptics	G04	Urologicals	304226	958	0.0031	2e-04	1.277	1.022
C03	Diuretics	C08	Calcium channel blockers	N07	Other nervous system drugs	304212	2410	0.0079	2e-04	2.336	1.067
M03	Muscle relaxants	M05	Drugs for treatment of bone diseases	N05	Psycholeptics	304139	2540	0.0084	2e-04	2.882	1.247
A02	Drugs for acid related disorders	C05	Vasoprotectives	N05	Psycholeptics	303953	2763	0.0091	2e-04	3.477	2.321
C03	Diuretics	D10	Anti-acne preparations	N06	Psychoanaleptics	303950	7255	0.0239	2e-04	0.289	0.427
B01	Antithrombotic agents	D07	Corticosteroids, dermatological preparations	G01	Gynecological antiinfectives and antiseptics	303891	3785	0.0125	2e-04	8.099	1.311
C09	Agents acting on the renin-angiotensin system	N04	Anti-parkinson drugs	R06	Antihistamines for systemic use	303887	853	0.0028	2e-04	1.465	1.552
A03	Drugs for functional gastrointestinal disorders	A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	H02	Corticosteroids for systemic use	303813	7570	0.0249	2e-04	21.011	2.985
C08	Calcium channel blockers	D06	Antibiotics and chemotherapeutics for dermatological use	N06	Psychoanaleptics	303701	2922	0.0096	2e-04	0.759	1.01
C07	Beta blocking agents	C09	Agents acting on the renin-angiotensin system	J02	Antimycotics for systemic use	303613	3120	0.0103	2e-04	1.888	0.927
P01	Antiprotozoals	R05	Cough and cold preparations	R06	Antihistamines for systemic use	303592	1853	0.0061	2e-04	4.427	1.419
C09	Agents acting on the renin-angiotensin system	J05	Antivirals for systemic use	R01	Nasal preparations	303574	4357	0.0144	2e-04	0.587	0.682
G03	Sex hormones and modulators of the genital system	M01	Anti-inflammatory and antirheumatic products	P01	Antiprotozoals	303547	18283	0.0602	2e-04	1.405	0.788
A11	Vitamins	G04	Urologicals	N06	Psychoanaleptics	303519	4301	0.0142	2e-04	1.557	1.345
A04	Antiemetics and antinauseants	N02	Analgesics	S02	Otologicals	303482	5540	0.0183	2e-04	12.591	3.893
A10	Drugs used in diabetes	B01	Antithrombotic agents	D11	Other dermatological preparations	303339	1071	0.0035	2e-04	5.372	1.7
M03	Muscle relaxants	P01	Antiprotozoals	R05	Cough and cold preparations	303316	<100	 	2e-04	6.939	1.751
H03	Thyroid therapy	S01	Ophthalmologicals	S02	Otologicals	303221	7564	0.0249	2e-04	2.854	1.3
A11	Vitamins	H03	Thyroid therapy	R03	Drugs for obstructive airway diseases	303033	5711	0.0188	2e-04	2.145	1.056
B01	Antithrombotic agents	G04	Urologicals	M03	Muscle relaxants	302724	1004	0.0033	2e-04	3.231	1.361
C10	Lipid modifying agents	D09	Medicated dressings	J01	Antibacterials for systemic use	302705	9057	0.0299	2e-04	1.626	0.701
M03	Muscle relaxants	N03	Antiepileptics	P01	Antiprotozoals	302702	1665	0.0055	2e-04	7.742	2.536
H03	Thyroid therapy	M04	Antigout preparations	R03	Drugs for obstructive airway diseases	302624	1362	0.0045	2e-04	1.322	1.183
A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	N06	Psychoanaleptics	S02	Otologicals	302618	2172	0.0072	2e-04	1.577	0.688
G03	Sex hormones and modulators of the genital system	L01	Antineoplastic agents	R06	Antihistamines for systemic use	302172	4979	0.0165	2e-04	1.284	0.901
D10	Anti-acne preparations	J01	Antibacterials for systemic use	N05	Psycholeptics	302140	9416	0.0312	2e-04	0.717	0.655
H02	Corticosteroids for systemic use	J05	Antivirals for systemic use	R05	Cough and cold preparations	302050	2035	0.0067	2e-04	3.693	1.557
A02	Drugs for acid related disorders	L02	Endocrine therapy	N05	Psycholeptics	301871	6797	0.0225	2e-04	2.273	1.675
B01	Antithrombotic agents	C03	Diuretics	P01	Antiprotozoals	301810	931	0.0031	2e-04	2.092	1.122
A10	Drugs used in diabetes	C07	Beta blocking agents	D05	Antipsoriatics	301729	876	0.0029	2e-04	3.679	2.136
A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	B01	Antithrombotic agents	R05	Cough and cold preparations	301616	<100	 	2e-04	2.435	1.995
A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	B01	Antithrombotic agents	G04	Urologicals	301536	561	0.0019	2e-04	3.849	1.621
A11	Vitamins	C01	Cardiac therapy	C07	Beta blocking agents	301535	1481	0.0049	2e-04	6.638	1.748
